Address,Company Name,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,lat,long
2750 Federal St,Jimenez Grocery,-0.1852492211091664,-0.04524736815191293,-0.6223794205723391,-0.3058662706567914,0.4126127055277199,0.09616688027815688,-0.025089684359558894,-0.1582413762515648,-0.33851481770346814,0.7997045266999022,-0.8101959686032327,-0.33682221351951763,39.94632100000001,-75.085022
159 Sanford St,Sanford Mini Market,1.8177579821336962,-0.04524736815191293,0.10606232571151782,-0.3273324569789337,0.8686305806744107,0.4967615375507553,-0.025089684359558894,-0.04651878555224028,-0.1258889694565166,-0.25455432572071773,0.06877924636311937,1.0163154704469952,40.7562894,-74.2279218
19 Wyckoff Ave,Giant Farmers Market,-2.188256424352029,-0.04524736815191293,-0.256918319250781,0.7781761386113962,0.2606067471454901,-0.9140283424092652,-0.025089684359558894,0.005582614918117785,-0.33851481770346814,-0.17925012197638773,1.3054760209625458,1.675358244521159,41.009561100000006,-74.12151850000002
136 Main St,Santamaria Grocery Co,-0.1852492211091664,-0.04524736815191293,-0.2240677898061622,-0.3165993638178626,0.5646186639099497,-0.30442777699444157,-0.025089684359558894,-0.1206424274585229,-0.33851481770346814,-0.48046693695370774,0.8958816140225303,0.19790900718353802,40.41462070000001,-74.2300152
2947 New Brooklyn Erial Rd,Pantry 1 Food Mart,0.816254380512265,-0.04524736815191293,0.04404601538019017,-0.345220945580719,1.1726424974388716,-0.548268003160371,-0.025089684359558894,-0.1609270154510678,-0.1258889694565166,-0.5557711406980377,-0.8101959686032327,-0.33682221351951763,39.7735216,-75.0071934
193 Monroe St,JSK Food Market Corp,-0.1852492211091664,-0.04524736815191293,-0.41236341385620556,-0.15202526868143804,0.10860078876325892,3.248672661423388,-0.025089684359558894,-0.23343927383764862,-0.1258889694565166,0.7997045266999022,-1.020821182621529,-0.33081199544868906,40.866694,-74.12178859999999
234 Parker Ave,People Choice Market,-0.1852492211091664,-0.04524736815191293,-0.41236341385620556,-0.3595317364621472,1.1726424974388716,0.23550415237297373,-0.025089684359558894,-0.23343927383764862,-0.1258889694565166,0.7997045266999022,-1.020821182621529,-0.33081199544868906,40.8752888,-74.1232504
1942 Springfield Ave,Maple Chek,-0.1852492211091664,-0.04524736815191293,-0.4642878092167531,-0.24862310713107852,-0.19541112800120206,-0.6527709572314836,-0.025089684359558894,-0.045444529872439084,-0.1258889694565166,0.3478793042339222,0.06877924636311937,1.0163154704469952,40.7204677,-74.273341
68 S 30th St,Otala Grocery Store,0.816254380512265,-0.04524736815191293,-0.17809579674864887,-0.30228857293643435,-0.19541112800120206,0.09616688027815688,-0.025089684359558894,-0.1600300119584338,-0.1258889694565166,0.7997045266999022,-0.8101959686032327,-0.33682221351951763,39.9456624,-75.0812934
34 Ridgedale Ave # B,Mini Mart,-0.1852492211091664,-0.04524736815191293,-0.2792820274379122,-0.3595317364621472,1.1726424974388716,-0.7224395932788921,-0.025089684359558894,0.07003795570618962,-0.1258889694565166,-0.6310753444423677,2.2092426305342894,-0.3786912040983475,40.8142914,-74.3898566
1143 Lawrence Rd,Mexico Lindo Mini-Market,-0.1852492211091664,-0.04524736815191293,-0.23438014036870314,-0.2629338980125067,0.5646186639099497,-0.4437650490892584,-0.025089684359558894,-0.09020339277135597,-0.1258889694565166,-0.6310753444423677,0.2112207761550633,-0.9564354739522012,40.2660866,-74.7418715
102 Berlin Rd N,Quick Food Store,-0.1852492211091664,-0.04524736815191293,-0.400237608551997,-0.3380655501400049,0.5646186639099497,-0.1650905048996247,-0.025089684359558894,-0.1609270154510678,-0.1258889694565166,-0.17925012197638773,-0.8101959686032327,-0.33682221351951763,39.8244703,-74.9863319
251 Crooks Ave,Ak Market Store,1.8177579821336962,-0.04524736815191293,6.718240593939431,-0.280822386614292,-0.6514290031478929,0.02649824423074846,-0.025089684359558894,-0.2357435522708222,2.0863047297914785,0.4231835079782522,-1.020821182621529,-0.33081199544868906,40.8910292,-74.1485397
183 New Brunswick Ave,Sinae Fresh Market,-1.1867528227305977,-0.04524736815191293,-0.3999693908479587,-0.21284612992750798,0.5646186639099497,0.6012644916218679,-0.025089684359558894,-0.1206424274585229,-0.33851481770346814,-0.48046693695370774,-0.33548189995059047,1.1844876854203736,40.5112969,-74.2697194
1080 Old York Rd,Ringoes Country Deli,-1.1867528227305977,-0.04524736815191293,-0.3529660401326346,-0.20569073448679387,-0.8034349615301226,-0.9140283424092652,-0.025089684359558894,-1.0391310336885466,-0.33851481770346814,-1.1582047706526777,1.5426940596209382,-2.0900807775666355,40.4294616,-74.866658
1406 Atlantic Ave,Twenty Four Seven Food Market,0.816254380512265,-0.04524736815191293,-0.037005688769814894,-0.3380655501400049,-0.3474170863834319,1.6637111913448466,-0.025089684359558894,0.07003795570618962,-0.33851481770346814,-1.1582047706526777,-1.1910826154672347,-1.4351783910065778,39.3617476,-74.4281745
2940 Westfield Ave,J F Deli Market,-0.1852492211091664,-0.04524736815191293,-0.400237608551997,-0.3165993638178626,-0.04340516961897089,0.09616688027815688,-0.025089684359558894,-0.1609270154510678,-0.1258889694565166,0.7997045266999022,-0.8101959686032327,-0.33682221351951763,39.948412,-75.08287879999997
346 Union Hill Rd,Pastosa Ravioli,1.8177579821336962,-0.04524736815191293,3.2918350531932634,0.18070061931176803,0.8686305806744107,-0.32184493600629366,-0.025089684359558894,-0.1206424274585229,2.0863047297914785,-0.5557711406980377,0.8958816140225303,0.19790900718353802,40.3368074,-74.3200021
349 Hillsdale Ave,Helping Hand Food Pantry,-0.1852492211091664,-0.04524736815191293,-0.256918319250781,-0.3595317364621472,1.1726424974388716,-0.879194024385561,-0.025089684359558894,0.005582614918117785,0.17190633621148277,-0.32985852946504773,1.3054760209625458,1.675358244521159,41.00239439999999,-74.0367597
761 Ocean Ave,Big Savings Supermarket,-0.1852492211091664,-0.04524736815191293,-0.31734733050005254,-0.33448785241964785,1.1726424974388716,0.94960767185891,-0.025089684359558894,-0.11258550986001392,-0.1258889694565166,1.0256171379328922,-0.0640722114336654,0.49553932585685845,40.712148600000006,-74.07528909999998
101 Rancocas Rd,Millerie Market,-0.1852492211091664,-0.04524736815191293,-0.32649119860871706,-0.32375475925857666,-1.5634647534412744,-0.35667925402999784,-0.025089684359558894,-0.08035783946597799,-0.33851481770346814,-0.9322921594196877,-0.2805854435696281,-0.6089212305672501,39.994658,-74.79323120000002
202 Clinton Ave,Ravi West Indian Grocery,-0.1852492211091664,-0.04524736815191293,-0.4446409381810673,-0.19495764132572269,-0.04340516961897089,-0.8095253883381526,-0.025089684359558894,-0.058872725869954054,-0.1258889694565166,-0.17925012197638773,0.1328016401818071,-0.07447106989457189,40.60121289999999,-74.44466070000001
106 E Moore St,Hackettstown Health Food,-2.188256424352029,-0.04524736815191293,-0.6631881967335975,-0.280822386614292,0.7166246222921808,-0.4611822081011105,-0.025089684359558894,-0.6792553809551455,-0.33851481770346814,-1.0829005669083478,-0.6995752057148907,-2.1758461369934947,40.853189,-74.8278889
1651 Main Ave,Alsalm Market LLC,-0.1852492211091664,-0.04524736815191293,-0.41236341385620556,-0.2987108752160773,1.0206365390566419,0.23550415237297373,-0.025089684359558894,-0.23343927383764862,-0.1258889694565166,0.7997045266999022,-1.020821182621529,-0.33081199544868906,40.88901920000001,-74.1541132
